Profession,Specialization (Branch),Rank,Skill ID,Skill Name,Description,Point Cost,Prereq Skill ID(s),Passive Effects,Recipes Granted,Signature Item (Wield → +25% XP for Combat/Hunting; flavor only elsewhere),Icon
Chemistry,Cooking,2,chemistry.growth.2,Hearty Stew,+25% food buff duration.,2,chemistry.growth.1,foodBuffDurationBonus +0.25,"cook_stew, cook_grain_porridge, cook_roast_corn",Cooking Pan,/icons/perks/maker/42.png
Chemistry,Cooking,3,chemistry.growth.3,Camp Chef,+20% food yield (stacks).,4,chemistry.growth.2,cookingYieldBonus +0.20,"cook_roast_meat, cook_fish_filet_grilled, cook_mushroom_skewer",Cooking Pan,/icons/perks/maker/43.png
Chemistry,Cooking,4,chemistry.growth.4,Master of the Pot,"+50% food duration, +30% yield (stacks).",8,chemistry.growth.3,"foodBuffDurationBonus +0.50, cookingYieldBonus +0.30","cook_hunters_pie, cook_camp_feast, cook_stratocolony_ration",Cooking Pan,/icons/perks/maker/44.png
Chemistry,Goos (Potions),1,chemistry.goos.1,Quick Brew,+10% potion potency.,1,—,potionPotencyBonus +0.10,"brew_minor_health, brew_water_purified",Mortar & Pestle,/icons/perks/maker/45.png
Chemistry,Goos (Potions),2,chemistry.goos.2,Pure Reagents,+15% potion potency (stacks).,2,chemistry.goos.1,potionPotencyBonus +0.15,"brew_stamina_potion, brew_minor_antidote",Mortar & Pestle,/icons/perks/maker/46.png
Chemistry,Goos (Potions),3,chemistry.goos.3,Stabilizer,+25% potion duration.,4,chemistry.goos.2,foodBuffDurationBonus +0.25,"brew_health_potion, brew_speed_tonic",Mortar & Pestle,/icons/perks/maker/47.png
Chemistry,Goos (Potions),4,chemistry.goos.4,Master Alchemist,"+25% potion potency, +50% potency stack.",8,chemistry.goos.3,"potionPotencyBonus +0.25, potionPotencyBonus +0.50","brew_greater_health, brew_radiation_resist, brew_invisibility_draught, brew_crystal_x_essence",Mortar & Pestle,/icons/perks/maker/48.png
Chemistry,Demolitions,1,chemistry.demo.1,Sapper,+20% explosion damage from grenades and charges.,1,—,explosionDamageBonus +0.20,craft_grenade_frag,Detonator,/icons/perks/warrior/41.png
Chemistry,Demolitions,2,chemistry.demo.2,Flashfire,Explosions ignite enemies for 5s (5 dmg/s).,2,chemistry.demo.1,igniteOnExplosion true,"craft_grenade_incendiary, craft_grenade_smoke",Detonator,/icons/perks/warrior/42.png
Chemistry,Demolitions,3,chemistry.demo.3,Sticky Bomb,Unlock craft_satchel_charge; charges adhere to surfaces.,4,chemistry.demo.2,satchelChargeUnlocked true,"craft_satchel_charge, craft_landmine",Detonator / Sapper's Spade,/icons/perks/warrior/43.png
Chemistry,Demolitions,4,chemistry.demo.4,Annihilator,"+50% blast radius, +25% damage (stacks).",8,chemistry.demo.3,"explosionRadiusBonus +0.50, explosionDamageBonus +0.25","craft_grenade_rift, craft_breaching_charge",Detonator / Rift Charge,/icons/perks/warrior/44.png
Chemistry,Toxicology,1,chemistry.tox.1,Poisoner,Coated weapons deal +5 poison/sec for 10s.,1,—,weaponPoisonOnHit +5,brew_poison_vial,Venom Vial,/icons/perks/warrior/45.png
Chemistry,Toxicology,2,chemistry.tox.2,Gas Cloud,Unlock craft_gas_grenade (10m AoE 8 dmg/s).,2,chemistry.tox.1,gasGrenadeUnlocked true,"craft_gas_grenade, brew_corrosive_oil",Venom Vial,/icons/perks/warrior/46.png
Chemistry,Toxicology,3,chemistry.tox.3,Acid Bath,Poisons reduce enemy DR by 25%.,4,chemistry.tox.2,poisonArmourPenetration +0.25,"brew_acid_flask, craft_poison_dart_pack",Venom Vial,/icons/perks/warrior/47.png
Chemistry,Toxicology,4,chemistry.tox.4,Plague Bearer,Unlock craft_plague_vial (AoE DoT lasting 30s).,8,chemistry.tox.3,plagueVialUnlocked true,"craft_plague_vial, brew_venom_concentrate",Venom Vial / Plague Censer,/icons/perks/warrior/48.png
Chemistry,Refining,1,chemistry.refining.1,Smelter,+20% iron→ingot yield at smelter.,1,—,smeltYieldBonus +0.20,build_smelter,Crucible Tongs,/icons/perks/maker/49.png
Chemistry,Refining,2,chemistry.refining.2,Distiller,+20% herb→reagent yield at workbench.,2,chemistry.refining.1,distillYieldBonus +0.20,craft_distiller,Crucible Tongs,/icons/perks/maker/50.png
Chemistry,Refining,3,chemistry.refining.3,Crucible,Refining at workbench gives 2× output.,4,chemistry.refining.2,refineDoubleOutput true,"build_crucible, craft_purified_ore",Crucible Tongs / Furnace Bellows,/icons/perks/maker/51.png
Chemistry,Refining,4,chemistry.refining.4,Transmuter,Unlock iron→steel and copper→bronze transmutation recipes.,8,chemistry.refining.3,transmutationUnlocked true,"craft_iron_to_steel, craft_copper_to_bronze, craft_crystal_to_attuned",Crucible Tongs / Transmuter's Wand,/icons/perks/maker/52.png
Chemistry,—,M,chemistry.master,Pact of the Goos,"PROFESSION MASTER — +50% potion potency, +50% food duration, +25% cooking yield, +50% explosion radius, all unlocks active. Requires Cooking 4 + Goos 4 + Demolitions 4 + Toxicology 4 + Refining 4.",20,chemistry.growth.4 + chemistry.goos.4 + chemistry.demo.4 + chemistry.tox.4 + chemistry.refining.4,"potionPotencyBonus +0.50, foodBuffDurationBonus +0.50, cookingYieldBonus +0.25, explosionRadiusBonus +0.50","brew_elixir_eternity, cook_kings_table, craft_pact_charm",Master's Cauldron,/icons/perks/maker/53.png
Combat,Pistol,1,combat.pistol.1,Steady Aim,+5% pistol damage.,1,—,pistolDamageBonus +0.05,—,Any Pistol (Pistol_1–3 / Revolver),/icons/perks/warrior/51.png
Combat,Pistol,2,combat.pistol.2,Quick Reload,+20% pistol reload speed.,2,combat.pistol.1,pistolReloadSpeedBonus +0.20,—,Any Pistol,/icons/perks/warrior/52.png
Combat,Pistol,3,combat.pistol.3,Twin Shot,+15% pistol damage (stacks).,4,combat.pistol.2,pistolDamageBonus +0.15,—,Any Pistol,/icons/perks/warrior/53.png
Combat,Pistol,4,combat.pistol.4,Gunslinger,"+25% pistol damage, +25% crit chance (stacks).",8,combat.pistol.3,"pistolDamageBonus +0.25, pistolCritBonus +0.25",—,Any Pistol / Revolver,/icons/perks/warrior/54.png
Combat,Rifle,1,combat.rifle.1,True Shot,+5% rifle damage.,1,—,rifleDamageBonus +0.05,—,Any Rifle (AssaultRifle / SniperRifle / Bullpup),/icons/perks/warrior/55.png
Combat,Rifle,2,combat.rifle.2,Scope Discipline,+25% rifle accuracy at range.,2,combat.rifle.1,rifleAccuracyBonus +0.25,—,Any Rifle,/icons/perks/warrior/56.png
Combat,Rifle,3,combat.rifle.3,Heavy Slug,+15% rifle damage (stacks).,4,combat.rifle.2,rifleDamageBonus +0.15,—,Any Rifle,/icons/perks/warrior/57.png
Combat,Rifle,4,combat.rifle.4,Rifleman,"+25% rifle damage, +50% headshot damage (stacks).",8,combat.rifle.3,"rifleDamageBonus +0.25, rifleHeadshotBonus +0.50",—,Any Rifle / Sniper,/icons/perks/warrior/58.png
Combat,Blades,1,combat.blades.1,First Cut,+5% blade damage in hand.,1,—,bladeUseDamageBonus +0.05,—,Any Sword / Dagger / Scythe,/icons/perks/warrior/61.png
Combat,Blades,2,combat.blades.2,Footwork,+15% blade attack speed.,2,combat.blades.1,bladeAttackSpeedBonus +0.15,—,Any Sword / Dagger,/icons/perks/warrior/62.png
Combat,Blades,3,combat.blades.3,Riposte,"+15% blade damage (stacks), parry restores stamina.",4,combat.blades.2,"bladeUseDamageBonus +0.15, parryStaminaBonus +0.10",—,Any Sword / Dagger,/icons/perks/warrior/63.png
Combat,Blades,4,combat.blades.4,Swordmaster,"+25% blade damage, +20% blade crit damage (stacks).",8,combat.blades.3,"bladeUseDamageBonus +0.25, bladeCritDamageBonus +0.20",—,Claymore / Sword_Big / Sword_Golden,/icons/perks/warrior/64.png
Combat,Hammers,1,combat.hammers.1,Solid Strike,+5% hammer/axe damage.,1,—,hammerUseDamageBonus +0.05,—,Any Hammer / Axe,/icons/perks/warrior/65.png
Combat,Hammers,2,combat.hammers.2,Concussive,+20% chance to stagger on hit.,2,combat.hammers.1,staggerChanceBonus +0.20,—,Any Hammer / Axe,/icons/perks/warrior/66.png
Combat,Hammers,3,combat.hammers.3,Crushing Blow,+15% hammer/axe damage (stacks).,4,combat.hammers.2,hammerUseDamageBonus +0.15,—,Any Hammer / Axe,/icons/perks/warrior/67.png
Combat,Hammers,4,combat.hammers.4,Skull-Splitter,"+25% damage, +50% damage to shielded enemies (stacks).",8,combat.hammers.3,"hammerUseDamageBonus +0.25, shieldBreakBonus +0.50",—,Hammer_Double / Axe_Double / War Hammer,/icons/perks/warrior/68.png
Combat,Theft,1,combat.theft.1,Light Fingers,Unlocks pickpocket; +25% pickpocket success.,1,—,pickpocketYieldBonus +0.25,—,Dagger / Knife (concealed),/icons/perks/smarts/41.png
Combat,Theft,2,combat.theft.2,Lockbreaker,+30% lockpick speed.,2,combat.theft.1,lockpickSpeedBonus +0.30,craft_lockpick_set,Lockpick / Dagger,/icons/perks/smarts/42.png
Combat,Theft,3,combat.theft.3,Cutpurse,"+50% gold from pickpocket, +25% stealth.",4,combat.theft.2,"pickpocketYieldBonus +0.50, stealthBonus +0.25",—,Dagger,/icons/perks/smarts/43.png
Combat,Theft,4,combat.theft.4,Phantom,"-30% stealth detection radius, +50% backstab damage.",8,combat.theft.3,"stealthBonus +0.30, backstabDamageBonus +0.50",craft_smoke_cloak,Dagger / Dagger_2,/icons/perks/smarts/44.png
Combat,—,M,combat.master,Apex Combatant,"PROFESSION MASTER — +15% all weapon damage, +15% crit, +15% reload, +15% stealth, +50 max HP. Requires Pistol 4 + Rifle 4 + Blades 4 + Hammers 4 + Theft 4.",20,combat.pistol.4 + combat.rifle.4 + combat.blades.4 + combat.hammers.4 + combat.theft.4,"pistolDamageBonus +0.15, rifleDamageBonus +0.15, bladeUseDamageBonus +0.15, hammerUseDamageBonus +0.15, pistolCritBonus +0.15, pistolReloadSpeedBonus +0.15, stealthBonus +0.15, maxHpBonus +50",—,Master's Mantle (any signature),/icons/perks/warrior/69.png
