Skill ID,Perk Name,Profession,Branch,Rank,SP Cost,Prerequisite,Effect,Recipes / Items Unlocked,Signature Item
chemistry.growth.4,Master of the Pot,Chemistry,Cooking,4,8,Spend 8 SP after: chemistry.growth.3,"+50% food duration, +30% yield (stacks).  [foodBuffDurationBonus +0.50, cookingYieldBonus +0.30]","cook_hunters_pie, cook_camp_feast, cook_stratocolony_ration",Cooking Pan
chemistry.goos.1,Quick Brew,Chemistry,Goos (Potions),1,1,Spend 1 SP (no prerequisite — branch entry),+10% potion potency.  [potionPotencyBonus +0.10],"brew_minor_health, brew_water_purified",Mortar & Pestle
chemistry.goos.2,Pure Reagents,Chemistry,Goos (Potions),2,2,Spend 2 SP after: chemistry.goos.1,+15% potion potency (stacks).  [potionPotencyBonus +0.15],"brew_stamina_potion, brew_minor_antidote",Mortar & Pestle
chemistry.goos.3,Stabilizer,Chemistry,Goos (Potions),3,4,Spend 4 SP after: chemistry.goos.2,+25% potion duration.  [foodBuffDurationBonus +0.25],"brew_health_potion, brew_speed_tonic",Mortar & Pestle
chemistry.goos.4,Master Alchemist,Chemistry,Goos (Potions),4,8,Spend 8 SP after: chemistry.goos.3,"+25% potion potency, +50% potency stack.  [potionPotencyBonus +0.25, potionPotencyBonus +0.50]","brew_greater_health, brew_radiation_resist, brew_invisibility_draught, brew_crystal_x_essence",Mortar & Pestle
chemistry.demo.1,Sapper,Chemistry,Demolitions,1,1,Spend 1 SP (no prerequisite — branch entry),+20% explosion damage from grenades and charges.  [explosionDamageBonus +0.20],craft_grenade_frag,Detonator
chemistry.demo.2,Flashfire,Chemistry,Demolitions,2,2,Spend 2 SP after: chemistry.demo.1,Explosions ignite enemies for 5s (5 dmg/s).  [igniteOnExplosion true],"craft_grenade_incendiary, craft_grenade_smoke",Detonator
chemistry.demo.3,Sticky Bomb,Chemistry,Demolitions,3,4,Spend 4 SP after: chemistry.demo.2,Unlock craft_satchel_charge; charges adhere to surfaces.  [satchelChargeUnlocked true],"craft_satchel_charge, craft_landmine",Detonator / Sapper's Spade
chemistry.demo.4,Annihilator,Chemistry,Demolitions,4,8,Spend 8 SP after: chemistry.demo.3,"+50% blast radius, +25% damage (stacks).  [explosionRadiusBonus +0.50, explosionDamageBonus +0.25]","craft_grenade_rift, craft_breaching_charge",Detonator / Rift Charge
chemistry.tox.1,Poisoner,Chemistry,Toxicology,1,1,Spend 1 SP (no prerequisite — branch entry),Coated weapons deal +5 poison/sec for 10s.  [weaponPoisonOnHit +5],brew_poison_vial,Venom Vial
chemistry.tox.2,Gas Cloud,Chemistry,Toxicology,2,2,Spend 2 SP after: chemistry.tox.1,Unlock craft_gas_grenade (10m AoE 8 dmg/s).  [gasGrenadeUnlocked true],"craft_gas_grenade, brew_corrosive_oil",Venom Vial
chemistry.tox.3,Acid Bath,Chemistry,Toxicology,3,4,Spend 4 SP after: chemistry.tox.2,Poisons reduce enemy DR by 25%.  [poisonArmourPenetration +0.25],"brew_acid_flask, craft_poison_dart_pack",Venom Vial
chemistry.tox.4,Plague Bearer,Chemistry,Toxicology,4,8,Spend 8 SP after: chemistry.tox.3,Unlock craft_plague_vial (AoE DoT lasting 30s).  [plagueVialUnlocked true],"craft_plague_vial, brew_venom_concentrate",Venom Vial / Plague Censer
chemistry.refining.1,Smelter,Chemistry,Refining,1,1,Spend 1 SP (no prerequisite — branch entry),+20% iron→ingot yield at smelter.  [smeltYieldBonus +0.20],build_smelter,Crucible Tongs
chemistry.refining.2,Distiller,Chemistry,Refining,2,2,Spend 2 SP after: chemistry.refining.1,+20% herb→reagent yield at workbench.  [distillYieldBonus +0.20],craft_distiller,Crucible Tongs
chemistry.refining.3,Crucible,Chemistry,Refining,3,4,Spend 4 SP after: chemistry.refining.2,Refining at workbench gives 2× output.  [refineDoubleOutput true],"build_crucible, craft_purified_ore",Crucible Tongs / Furnace Bellows
chemistry.refining.4,Transmuter,Chemistry,Refining,4,8,Spend 8 SP after: chemistry.refining.3,Unlock iron→steel and copper→bronze transmutation recipes.  [transmutationUnlocked true],"craft_iron_to_steel, craft_copper_to_bronze, craft_crystal_to_attuned",Crucible Tongs / Transmuter's Wand
chemistry.master,Pact of the Goos,Chemistry,—,M,20,Spend 20 SP after maxing all 5 branches: chemistry.growth.4 + chemistry.goos.4 + chemistry.demo.4 + chemistry.tox.4 + chemistry.refining.4,"PROFESSION MASTER — +50% potion potency, +50% food duration, +25% cooking yield, +50% explosion radius, all unlocks active. Requires Cooking 4 + Goos 4 + Demolitions 4 + Toxicology 4 + Refining 4.  [potionPotencyBonus +0.50, foodBuffDurationBonus +0.50, cookingYieldBonus +0.25, explosionRadiusBonus +0.50]","brew_elixir_eternity, cook_kings_table, craft_pact_charm",Master's Cauldron
combat.pistol.1,Steady Aim,Combat,Pistol,1,1,Spend 1 SP (no prerequisite — branch entry),+5% pistol damage.  [pistolDamageBonus +0.05],,Any Pistol (Pistol_1–3 / Revolver)
combat.pistol.2,Quick Reload,Combat,Pistol,2,2,Spend 2 SP after: combat.pistol.1,+20% pistol reload speed.  [pistolReloadSpeedBonus +0.20],,Any Pistol
combat.pistol.3,Twin Shot,Combat,Pistol,3,4,Spend 4 SP after: combat.pistol.2,+15% pistol damage (stacks).  [pistolDamageBonus +0.15],,Any Pistol
combat.pistol.4,Gunslinger,Combat,Pistol,4,8,Spend 8 SP after: combat.pistol.3,"+25% pistol damage, +25% crit chance (stacks).  [pistolDamageBonus +0.25, pistolCritBonus +0.25]",,Any Pistol / Revolver
combat.rifle.1,True Shot,Combat,Rifle,1,1,Spend 1 SP (no prerequisite — branch entry),+5% rifle damage.  [rifleDamageBonus +0.05],,Any Rifle (AssaultRifle / SniperRifle / Bullpup)
combat.rifle.2,Scope Discipline,Combat,Rifle,2,2,Spend 2 SP after: combat.rifle.1,+25% rifle accuracy at range.  [rifleAccuracyBonus +0.25],,Any Rifle
combat.rifle.3,Heavy Slug,Combat,Rifle,3,4,Spend 4 SP after: combat.rifle.2,+15% rifle damage (stacks).  [rifleDamageBonus +0.15],,Any Rifle
combat.rifle.4,Rifleman,Combat,Rifle,4,8,Spend 8 SP after: combat.rifle.3,"+25% rifle damage, +50% headshot damage (stacks).  [rifleDamageBonus +0.25, rifleHeadshotBonus +0.50]",,Any Rifle / Sniper
combat.blades.1,First Cut,Combat,Blades,1,1,Spend 1 SP (no prerequisite — branch entry),+5% blade damage in hand.  [bladeUseDamageBonus +0.05],,Any Sword / Dagger / Scythe
combat.blades.2,Footwork,Combat,Blades,2,2,Spend 2 SP after: combat.blades.1,+15% blade attack speed.  [bladeAttackSpeedBonus +0.15],,Any Sword / Dagger
combat.blades.3,Riposte,Combat,Blades,3,4,Spend 4 SP after: combat.blades.2,"+15% blade damage (stacks), parry restores stamina.  [bladeUseDamageBonus +0.15, parryStaminaBonus +0.10]",,Any Sword / Dagger
combat.blades.4,Swordmaster,Combat,Blades,4,8,Spend 8 SP after: combat.blades.3,"+25% blade damage, +20% blade crit damage (stacks).  [bladeUseDamageBonus +0.25, bladeCritDamageBonus +0.20]",,Claymore / Sword_Big / Sword_Golden
combat.hammers.1,Solid Strike,Combat,Hammers,1,1,Spend 1 SP (no prerequisite — branch entry),+5% hammer/axe damage.  [hammerUseDamageBonus +0.05],,Any Hammer / Axe
combat.hammers.2,Concussive,Combat,Hammers,2,2,Spend 2 SP after: combat.hammers.1,+20% chance to stagger on hit.  [staggerChanceBonus +0.20],,Any Hammer / Axe
combat.hammers.3,Crushing Blow,Combat,Hammers,3,4,Spend 4 SP after: combat.hammers.2,+15% hammer/axe damage (stacks).  [hammerUseDamageBonus +0.15],,Any Hammer / Axe
combat.hammers.4,Skull-Splitter,Combat,Hammers,4,8,Spend 8 SP after: combat.hammers.3,"+25% damage, +50% damage to shielded enemies (stacks).  [hammerUseDamageBonus +0.25, shieldBreakBonus +0.50]",,Hammer_Double / Axe_Double / War Hammer
combat.theft.1,Light Fingers,Combat,Theft,1,1,Spend 1 SP (no prerequisite — branch entry),Unlocks pickpocket; +25% pickpocket success.  [pickpocketYieldBonus +0.25],,Dagger / Knife (concealed)
combat.theft.2,Lockbreaker,Combat,Theft,2,2,Spend 2 SP after: combat.theft.1,+30% lockpick speed.  [lockpickSpeedBonus +0.30],craft_lockpick_set,Lockpick / Dagger
combat.theft.3,Cutpurse,Combat,Theft,3,4,Spend 4 SP after: combat.theft.2,"+50% gold from pickpocket, +25% stealth.  [pickpocketYieldBonus +0.50, stealthBonus +0.25]",,Dagger
combat.theft.4,Phantom,Combat,Theft,4,8,Spend 8 SP after: combat.theft.3,"-30% stealth detection radius, +50% backstab damage.  [stealthBonus +0.30, backstabDamageBonus +0.50]",craft_smoke_cloak,Dagger / Dagger_2
combat.master,Apex Combatant,Combat,—,M,20,Spend 20 SP after maxing all 5 branches: combat.pistol.4 + combat.rifle.4 + combat.blades.4 + combat.hammers.4 + combat.theft.4,"PROFESSION MASTER — +15% all weapon damage, +15% crit, +15% reload, +15% stealth, +50 max HP. Requires Pistol 4 + Rifle 4 + Blades 4 + Hammers 4 + Theft 4.  [pistolDamageBonus +0.15, rifleDamageBonus +0.15, bladeUseDamageBonus +0.15, hammerUseDamageBonus +0.15, pistolCritBonus +0.15, pistolReloadSpeedBonus +0.15, stealthBonus +0.15, maxHpBonus +50]",,Master's Mantle (any signature)
